Date,HESAY
2025-01-16,252.7716522216797
2025-01-17,254.1144256591797
2025-01-21,264.4421081542969
2025-01-22,268.3816833496094
2025-01-23,272.8049621582031
2025-01-24,274.8092956542969
2025-01-27,276.18170166015625
2025-01-28,274.1181945800781
2025-01-29,276.2113342285156
2025-01-30,277.0999755859375
2025-01-31,277.5245056152344
2025-02-03,276.3397216796875
2025-02-04,278.294677734375
2025-02-05,280.96051025390625
2025-02-06,281.7503356933594
2025-02-07,275.69793701171875
2025-02-10,280.3680725097656
2025-02-11,282.1255798339844
2025-02-12,285.8379821777344
2025-02-13,293.3912353515625
2025-02-14,295.9583435058594
2025-02-18,291.7620849609375
2025-02-19,283.3005065917969
2025-02-20,284.909912109375
2025-02-21,288.3063659667969
2025-02-24,281.72076416015625
2025-02-25,283.71282958984375
2025-02-26,281.2413024902344
2025-02-27,276.8419189453125
2025-02-28,279.9659729003906
2025-03-03,280.2724609375
2025-03-04,284.51361083984375
2025-03-05,287.69696044921875
2025-03-06,274.19244384765625
2025-03-07,273.3620300292969
2025-03-10,267.5291748046875
2025-03-11,268.4090576171875
2025-03-12,268.6858825683594
2025-03-13,263.9207458496094
2025-03-14,270.6334228515625
2025-03-17,268.94293212890625
2025-03-18,264.2667541503906
2025-03-19,268.9824523925781
2025-03-20,268.80450439453125
2025-03-21,269.0615234375
2025-03-24,267.8257751464844
2025-03-25,267.8059997558594
2025-03-26,261.3997802734375
2025-03-27,263.4659729003906
2025-03-28,261.03399658203125
2025-03-31,259.046875
2025-04-01,258.0384826660156
2025-04-02,259.8179931640625
2025-04-03,256.0612487792969
2025-04-04,243.82220458984375
2025-04-07,232.32460021972656
2025-04-08,236.75360107421875
2025-04-09,264.5040283203125
2025-04-10,255.74488830566406
2025-04-11,263.36712646484375
2025-04-14,258.0285949707031
2025-04-15,262.0819091796875
2025-04-16,262.9716796875
2025-04-17,259.1753845214844
2025-04-21,256.6346435546875
2025-04-22,262.44769287109375
2025-04-23,264.6028747558594
2025-04-24,270.9399108886719
2025-04-25,269.0516357421875
2025-04-28,270.079833984375
2025-04-29,269.5262145996094
2025-04-30,270.8113708496094
2025-05-01,266.9261474609375
2025-05-02,275.4678039550781
2025-05-05,279.5408630371094
2025-05-06,278.4454650878906
2025-05-07,273.0483703613281
2025-05-08,274.64453125
2025-05-09,276.3504943847656
2025-05-12,283.0943908691406
2025-05-13,289.2796325683594
2025-05-14,286.8753662109375
2025-05-15,286.1072082519531
2025-05-16,288.7109680175781
2025-05-19,288.7508850097656
2025-05-20,287.2744140625
2025-05-21,279.7723083496094
2025-05-22,273.41748046875
2025-05-23,267.2422180175781
2025-05-27,269.8160705566406
2025-05-28,269.2374572753906
2025-05-29,269.9756774902344
2025-05-30,274.8939514160156
2025-06-02,274.8939514160156
2025-06-03,271.3424377441406
2025-06-04,271.3623962402344
2025-06-05,266.2645568847656
2025-06-06,264.2693176269531
2025-06-09,264.059814453125
2025-06-10,267.611328125
2025-06-11,269.646484375
2025-06-12,269.73626708984375
2025-06-13,262.1842956542969
2025-06-16,264.059814453125
2025-06-17,261.7752685546875
2025-06-18,260.37860107421875
2025-06-20,258.1738586425781
2025-06-23,262.7529296875
2025-06-24,263.97998046875
2025-06-25,263.989990234375
2025-06-26,261.86505126953125
2025-06-27,266.0849914550781
